product,country,market_year,metric,value
大豆,阿根廷,2000/01,consumption,18.34
大豆,埃及,2000/01,consumption,0.289
大豆,巴基斯坦,2000/01,consumption,0.163
大豆,巴拉圭,2000/01,consumption,0.977
大豆,巴西,2000/01,consumption,24.342
大豆,玻利维亚,2000/01,consumption,0.995
大豆,俄罗斯,2000/01,consumption,0.353
大豆,菲律宾,2000/01,consumption,0.363
大豆,哥伦比亚,2000/01,consumption,0.444
大豆,韩国,2000/01,consumption,1.491
大豆,加拿大,2000/01,consumption,2.219
大豆,马来西亚,2000/01,consumption,0.582
大豆,美国,2000/01,consumption,49.203
大豆,秘鲁,2000/01,consumption,0.065
大豆,摩洛哥,2000/01,consumption,0.223
大豆,墨西哥,2000/01,consumption,4.485
大豆,南非,2000/01,consumption,0.236
大豆,欧盟,2000/01,consumption,18.684
大豆,日本,2000/01,consumption,5.075
大豆,泰国,2000/01,consumption,1.571
大豆,土耳其,2000/01,consumption,0.388
大豆,委内瑞拉,2000/01,consumption,0.192
大豆,乌克兰,2000/01,consumption,0.062
大豆,乌拉圭,2000/01,consumption,0.011
大豆,伊朗,2000/01,consumption,0.738
大豆,印度,2000/01,consumption,5.15
大豆,印度尼西亚,2000/01,consumption,2.153
大豆,越南,2000/01,consumption,0.179
大豆,智利,2000/01,consumption,0.101
大豆,中国,2000/01,consumption,26.706
大豆,中国台湾,2000/01,consumption,2.367
大豆,Australia,2000/01,consumption,0.05
大豆,Barbados,2000/01,consumption,0.019
大豆,Bosnia and Herzegovina,2000/01,consumption,0.004
大豆,Burma,2000/01,consumption,0.099
大豆,Costa Rica,2000/01,consumption,0.214
大豆,Cuba,2000/01,consumption,0.018
大豆,Ecuador,2000/01,consumption,0.074
大豆,Guatemala,2000/01,consumption,0.042
大豆,Israel,2000/01,consumption,0.598
大豆,"Korea, North",2000/01,consumption,0.125
大豆,Nicaragua,2000/01,consumption,0.007
大豆,Nigeria,2000/01,consumption,0.437
大豆,Norway,2000/01,consumption,0.389
大豆,Panama,2000/01,consumption,0
大豆,Serbia and Montenegro,2000/01,consumption,0.161
大豆,Singapore,2000/01,consumption,0.021
大豆,Switzerland,2000/01,consumption,0.066
大豆,Syria,2000/01,consumption,0.155
大豆,Trinidad and Tobago,2000/01,consumption,0.075
大豆,Uganda,2000/01,consumption,0.105
大豆,Uzbekistan,2000/01,consumption,0.054
大豆,Zambia,2000/01,consumption,0.003
大豆,Zimbabwe,2000/01,consumption,0.128
大豆,阿根廷,2000/01,exports,7.304
大豆,埃及,2000/01,exports,0
大豆,巴基斯坦,2000/01,exports,0
大豆,巴拉圭,2000/01,exports,2.4
大豆,巴西,2000/01,exports,15.469
大豆,玻利维亚,2000/01,exports,0.25
大豆,俄罗斯,2000/01,exports,0.012
大豆,菲律宾,2000/01,exports,0
大豆,哥伦比亚,2000/01,exports,0
大豆,韩国,2000/01,exports,0
大豆,加拿大,2000/01,exports,0.747
大豆,马来西亚,2000/01,exports,0.017
大豆,美国,2000/01,exports,27.103
大豆,秘鲁,2000/01,exports,0
大豆,摩洛哥,2000/01,exports,0
大豆,墨西哥,2000/01,exports,0
大豆,南非,2000/01,exports,0
大豆,欧盟,2000/01,exports,0.022
大豆,日本,2000/01,exports,0
大豆,泰国,2000/01,exports,0
大豆,土耳其,2000/01,exports,0
大豆,委内瑞拉,2000/01,exports,0
大豆,乌克兰,2000/01,exports,0.012
大豆,乌拉圭,2000/01,exports,0.014
大豆,伊朗,2000/01,exports,0
大豆,印度,2000/01,exports,0.06
大豆,印度尼西亚,2000/01,exports,0
大豆,越南,2000/01,exports,0.002
大豆,智利,2000/01,exports,0
大豆,中国,2000/01,exports,0.208
大豆,中国台湾,2000/01,exports,0
大豆,Australia,2000/01,exports,0.011
大豆,Barbados,2000/01,exports,0
大豆,Bosnia and Herzegovina,2000/01,exports,0
大豆,Burma,2000/01,exports,0
大豆,Costa Rica,2000/01,exports,0
大豆,Cuba,2000/01,exports,0
大豆,Ecuador,2000/01,exports,0.03
大豆,Guatemala,2000/01,exports,0.001
大豆,Israel,2000/01,exports,0
大豆,"Korea, North",2000/01,exports,0
大豆,Nicaragua,2000/01,exports,0
大豆,Nigeria,2000/01,exports,0
大豆,Norway,2000/01,exports,0
大豆,Panama,2000/01,exports,0.002
大豆,Serbia and Montenegro,2000/01,exports,0
大豆,Singapore,2000/01,exports,0.003
大豆,Switzerland,2000/01,exports,0
大豆,Syria,2000/01,exports,0
大豆,Trinidad and Tobago,2000/01,exports,0
大豆,Uganda,2000/01,exports,0.015
大豆,Uzbekistan,2000/01,exports,0
